age,Ethnicity..Simplified.,Highest.education.level.completed,Household.Income..GBP.,Political.Party.Affiliation.UK,Sex,ideo,nfcog_1,nfcog_2,nfcog_3,nfcog_4,nfcog_5,nfcog_6,seri_you_1,covid_consp_1,covid_consp_2,covid_consp_3,pb_1,pb_2,pb_3,pb_4,pb_5,pb_6,panic_b
23,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Liberal Democrats,Female,5,3,2,4,4,5,5,5,4,3,2,3,3,1,3,2,1,2
28,White,Undergraduate degree (BA/BSc/other),"£100,000 - £149,999",Conservative,Female,8,4,4,1,1,4,4,1,2,1,1,2,1,1,1,2,1,1
43,White,Technical/community college,"£30,000 - £39,999",Labour,Female,5,2,3,3,2,4,4,1,5,6,2,3,2,1,3,4,3,3
24,White,Secondary education (e.g. GED/GCSE),,Not applicable / rather not say,Female,6,2,2,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1
56,White,Doctorate degree (PhD/other),,Green Party,Female,5,4,4,2,2,4,4,3,2,2,2,1,1,1,1,1,1,1
57,White,High school diploma/A-levels,"£40,000 - £49,999",Conservative,Male,9,2,3,2,4,2,2,2,1,1,1,4,1,1,5,4,1,2
32,White,High school diploma/A-levels,"£40,000 - £49,999",Green Party,Female,7,4,4,1,2,4,4,3,2,2,2,1,1,1,1,1,1,1
27,White,High school diploma/A-levels,"£50,000 - £59,999",Not applicable / rather not say,Female,11,4,3,3,2,3,2,1,5,5,1,1,1,1,1,1,1,1
36,White,High school diploma/A-levels,"£70,000 - £79,999",Labour,Female,2,4,4,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1
56,White,Secondary education (e.g. GED/GCSE),Rather not say,Other,Male,2,2,3,3,4,3,4,2,1,1,1,1,2,1,2,1,3,1
47,White,High school diploma/A-levels,"£70,000 - £79,999",Labour,Female,4,3,2,3,4,3,3,2,3,2,2,2,1,1,1,1,3,2
59,White,Secondary education (e.g. GED/GCSE),"Less than £10,000 ",UKIP,Female,9,1,1,3,3,2,2,1,1,1,1,2,1,1,2,2,1,1
36,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Other,Female,4,4,4,3,2,4,3,4,3,5,4,3,3,1,1,2,4,2
33,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Male,6,4,4,2,2,4,4,4,3,2,2,1,1,1,1,1,1,1
54,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Conservative,Female,6,4,5,1,1,5,5,1,2,2,2,2,1,1,2,1,1,1
32,White,Graduate degree (MA/MSc/MPhil/other),"£40,000 - £49,999",Green Party,Female,4,2,2,2,2,4,4,1,2,2,1,1,1,1,1,1,1,1
30,White,Graduate degree (MA/MSc/MPhil/other),,Other,Male,2,5,5,1,1,5,5,2,1,1,1,1,1,1,1,1,1,1
22,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Female,2,3,4,2,3,4,4,2,1,1,1,3,1,1,3,1,1,1
66,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Other,Male,7,4,4,2,2,4,4,2,1,1,1,1,1,1,3,1,1,2
48,White,Secondary education (e.g. GED/GCSE),"£30,000 - £39,999",Conservative,Male,6,4,4,2,2,4,4,1,1,1,1,1,1,1,2,2,2,1
59,White,Technical/community college,"£10,000 - £15,999",UKIP,Male,5,4,4,2,2,5,4,4,5,5,4,1,1,1,1,1,1,2
22,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",Green Party,Female,4,4,4,2,2,4,4,2,3,3,3,1,1,1,1,1,1,3
21,White,High school diploma/A-levels,"£50,000 - £59,999",Green Party,Female,6,4,3,2,1,4,5,2,1,1,1,3,2,1,1,1,1,1
35,White,Doctorate degree (PhD/other),"£16,000 - £19,999",Green Party,Female,4,5,5,1,1,4,5,2,1,1,1,2,1,1,2,1,1,1
47,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",Conservative,Female,4,4,3,2,4,4,3,3,1,2,2,4,3,1,1,1,1,3
47,White,Technical/community college,,Scottish National Party (SNP),Male,6,4,5,1,1,5,3,1,1,4,1,1,1,1,1,1,1,1
39,White,Graduate degree (MA/MSc/MPhil/other),Rather not say,Labour,Female,1,4,3,1,2,4,4,1,1,1,1,2,1,1,1,1,1,1
47,White,High school diploma/A-levels,"£30,000 - £39,999",Conservative,Female,5,4,4,2,2,4,3,1,4,2,1,1,1,1,1,1,1,1
34,White,Secondary education (e.g. GED/GCSE),Rather not say,,Female,6,4,4,3,2,4,2,2,4,3,4,1,1,1,1,1,1,1
35,White,Undergraduate degree (BA/BSc/other),"£10,000 - £15,999",Liberal Democrats,Male,4,4,4,1,2,4,4,1,2,2,1,4,1,1,3,3,1,2
54,White,Graduate degree (MA/MSc/MPhil/other),Rather not say,Labour,Female,2,4,4,2,2,4,3,1,1,1,1,3,4,1,3,2,4,2
32,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Labour,Male,2,5,5,1,1,5,5,1,4,4,4,1,1,1,1,1,1,1
36,White,Secondary education (e.g. GED/GCSE),,Not applicable / rather not say,Female,7,3,2,1,3,4,2,2,4,4,3,2,2,1,1,1,1,1
59,White,Graduate degree (MA/MSc/MPhil/other),"More than £150,000",Liberal Democrats,Male,4,2,2,4,2,3,3,1,1,1,1,1,3,1,5,1,3,2
26,Mixed,Undergraduate degree (BA/BSc/other),,Liberal Democrats,Female,2,2,1,4,4,3,1,1,1,2,1,3,1,1,2,1,1,2
49,White,Technical/community college,"£30,000 - £39,999",Scottish National Party (SNP),Male,6,4,4,1,1,4,4,6,4,7,4,1,1,1,1,1,1,1
38,White,Graduate degree (MA/MSc/MPhil/other),,Conservative,Female,8,4,4,2,2,5,5,5,5,5,3,2,1,2,1,2,1,1
57,White,Undergraduate degree (BA/BSc/other),,Other,Male,7,4,4,2,2,3,4,3,1,1,1,1,1,1,1,1,4,1
38,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,6,4,4,1,2,4,5,3,3,4,2,2,1,1,1,1,1,1
36,White,Undergraduate degree (BA/BSc/other),"£10,000 - £15,999",Labour,Female,5,2,2,2,2,4,4,1,1,1,1,4,3,1,3,4,1,1
31,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Conservative,Female,7,4,4,1,1,5,4,2,1,1,1,2,1,1,2,1,1,1
23,Black,Graduate degree (MA/MSc/MPhil/other),"£16,000 - £19,999",Conservative,Male,7,2,4,3,1,3,4,4,5,3,4,3,5,3,4,2,4,2
22,White,High school diploma/A-levels,,Labour,Female,1,4,4,2,1,5,5,2,1,1,1,1,1,1,1,1,1,1
22,White,High school diploma/A-levels,,Labour,Female,8,2,4,1,2,4,4,2,4,5,5,2,1,1,1,1,1,1
30,White,Doctorate degree (PhD/other),"£10,000 - £15,999",Green Party,Male,2,4,4,2,2,4,5,2,1,1,1,3,2,1,3,3,1,2
59,White,High school diploma/A-levels,Rather not say,Not applicable / rather not say,Male,7,3,4,2,3,4,2,1,5,1,1,3,1,1,3,2,1,2
34,White,Secondary education (e.g. GED/GCSE),,Not applicable / rather not say,Male,7,2,4,2,2,4,4,4,6,7,7,2,2,5,2,3,4,1
42,White,Graduate degree (MA/MSc/MPhil/other),Rather not say,Labour,Female,1,5,4,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1
44,White,High school diploma/A-levels,,Scottish National Party (SNP),Female,6,2,2,2,3,4,4,2,1,2,2,1,1,1,1,1,1,1
52,White,High school diploma/A-levels,,Liberal Democrats,Male,4,4,2,1,2,4,4,6,4,1,1,1,1,1,2,1,1,1
33,White,Technical/community college,"£20,000 - £29,999",Labour,Female,5,4,4,2,2,4,4,3,2,1,1,1,1,1,2,1,1,3
31,White,Graduate degree (MA/MSc/MPhil/other),"£30,000 - £39,999",Conservative,Female,8,3,4,2,2,4,3,1,2,1,1,2,2,1,2,2,1,1
24,Asian,Undergraduate degree (BA/BSc/other),,Not applicable / rather not say,Male,6,4,4,2,2,4,4,2,3,5,3,1,1,1,1,1,1,1
54,White,Technical/community college,"£50,000 - £59,999",Labour,Female,4,4,3,1,2,4,3,7,4,4,4,1,1,1,1,1,1,1
50,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Female,4,4,4,2,2,4,4,1,1,1,1,3,2,1,3,3,1,2
23,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",Other,Male,2,4,4,2,2,5,4,2,1,1,1,1,1,1,1,1,1,1
47,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Labour,Female,4,5,5,1,2,4,4,2,6,4,1,2,1,1,2,3,2,2
58,White,Secondary education (e.g. GED/GCSE),"£40,000 - £49,999",Labour,Female,6,3,2,3,2,4,2,3,4,2,2,1,1,1,1,1,1,1
51,White,High school diploma/A-levels,,Labour,Male,2,3,1,3,4,3,2,2,1,1,1,2,1,1,1,1,1,1
51,White,Secondary education (e.g. GED/GCSE),,Liberal Democrats,Male,7,4,4,1,1,4,4,2,2,2,2,2,1,1,1,2,2,1
41,White,High school diploma/A-levels,"£30,000 - £39,999",Labour,Female,4,4,4,3,4,4,4,3,4,4,3,2,1,1,2,2,1,3
51,Black,Undergraduate degree (BA/BSc/other),,Labour,Female,6,4,5,2,2,4,3,4,6,5,5,1,1,1,1,1,1,1
70,White,Secondary education (e.g. GED/GCSE),,Labour,Female,6,4,4,1,4,4,4,2,1,1,1,1,1,1,2,1,1,1
51,White,Graduate degree (MA/MSc/MPhil/other),,Not applicable / rather not say,Female,7,4,4,1,1,4,4,1,5,4,2,4,1,1,4,4,1,2
56,White,Graduate degree (MA/MSc/MPhil/other),,Labour,Male,7,2,2,4,4,3,2,2,2,1,1,3,2,1,2,3,2,2
31,White,Undergraduate degree (BA/BSc/other),Rather not say,Scottish National Party (SNP),Female,2,4,4,2,2,5,3,3,1,1,1,1,1,1,2,1,1,1
51,White,Secondary education (e.g. GED/GCSE),,Not applicable / rather not say,Female,4,2,2,2,3,4,3,1,1,1,1,2,3,1,1,3,1,2
20,White,High school diploma/A-levels,,Green Party,Female,4,3,3,2,1,4,4,5,2,3,2,1,1,1,1,1,1,1
62,White,Secondary education (e.g. GED/GCSE),"£10,000 - £15,999",Labour,Male,5,3,4,2,4,2,4,3,2,2,1,2,1,1,1,1,1,1
39,Mixed,Undergraduate degree (BA/BSc/other),,Conservative,Male,7,4,3,3,2,5,4,6,4,5,1,1,1,1,1,1,1,2
41,White,Undergraduate degree (BA/BSc/other),,Conservative,Male,7,4,4,1,1,4,5,2,2,2,2,3,3,1,3,3,1,1
47,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Liberal Democrats,Male,2,4,4,2,2,5,4,1,1,1,1,2,1,1,2,2,1,2
47,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",Green Party,Male,5,4,4,3,3,4,4,1,2,2,2,3,2,1,1,2,1,1
33,White,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Labour,Male,4,2,2,3,3,3,4,1,4,4,1,2,1,1,3,1,3,3
41,White,Undergraduate degree (BA/BSc/other),"£80,000 - £89,999",Green Party,Male,6,4,4,2,2,5,5,1,2,2,2,2,2,1,2,1,1,3
44,White,Technical/community college,"£20,000 - £29,999",Not applicable / rather not say,Male,6,4,4,2,2,4,4,1,3,2,5,1,1,1,1,1,1,1
61,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Liberal Democrats,Male,6,4,3,2,2,4,4,1,2,2,4,1,1,1,1,1,1,1
37,White,Doctorate degree (PhD/other),"£70,000 - £79,999",Scottish National Party (SNP),Female,6,4,5,2,1,5,5,2,1,1,1,3,3,1,3,4,2,2
31,Mixed,High school diploma/A-levels,"£10,000 - £15,999",Conservative,Female,8,3,2,2,3,4,4,3,3,3,2,3,2,2,2,3,3,1
27,White,High school diploma/A-levels,"£10,000 - £15,999",Labour,Female,2,1,1,4,4,3,2,2,3,2,2,1,1,1,1,1,1,1
34,White,Graduate degree (MA/MSc/MPhil/other),"£70,000 - £79,999",Green Party,Female,6,4,4,2,2,5,4,1,2,2,1,1,1,1,1,3,1,2
